sale_id,表示順,フェーズ,日付,曜日,曜日色,カード色,タグ,バッジ,テーマ,訴求コピー,誘導先
2026-06-ss,13,main,6/12,金曜日,,50day,main 50day,main:本SALE | 50day:⏰ 0のつく日 本日23:59まで,0のつく日 ラストコール ＋ SALE残り8日,"⏰ 0のつく日 本日23:59まで！SALE残り8日🔔 高速バスも最大1,000円割引だよ🚌 週末旅行の計画はできてる？まだなら今すぐチェック！",公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,14,main,6/13,土曜日,sat,main,main,main:本SALE,週末旅行 ＋ 国内宿泊ポイントバックキャンペーン訴求,"🌅 今週末もスーパーSALE開催中！旅行予約が毎日最大30%OFF。エントリー＆ご旅行で抽選2,500名様に最大全額ポイントバックも忘れずに🎯 残り7日！",公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,15,main,6/14,日曜日,sun,main,main,main:本SALE,夏のアミューズメント訴求（東京サマーランド・ムーミン）,☀️ 夏のお出かけ計画はもうできてる？東京サマーランド感謝デーのチケット・ムーミンバレーパーク 1デーパスもSALE対象！旅行とセットで計画しよう🌱 残り6日！,"東京サマーランド :: https://experiences.travel.rakuten.co.jp/experiences/51601
ムーミンバレーパーク :: https://experiences.travel.rakuten.co.jp/experiences/25531"
2026-06-ss,16,main,6/15,月曜日,,50day,main 50day,main:本SALE 残り5日 | 50day:⏰ 5のつく日 START（〜6/17 23:59）,5のつく日 72時間スタート ＋ SALE残り5日 決め時！,✨ 5のつく日スタート！今から72時間！SALE残り5日、まだ迷ってる方はここが決め時🔥 最大30%OFFで夏の旅行を予約しよう！初めてのアプリ予約なら最大35%OFF！,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,17,main,6/16,火曜日,,50day,main 50day,main:本SALE 残り4日 | 50day:⏰ 5のつく日 継続中,エントリーリマインダー ＋ 楽天モバイル当選確率2倍,"🎯 エントリーはもうしてある？国内宿泊エントリー＆ご旅行で抽選2,500名様に最大全額ポイントバック！楽天モバイルなら当選確率2倍✨ SALE残り4日、急いで！",公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,18,main,6/17,水曜日,,50day,main 50day,main:本SALE 残り3日 | 50day:⏰ 5のつく日 本日23:59まで,5のつく日 ラストコール ＋ OSAKA GIGANTIC MUSIC FESTIVAL訴求,🎵 5のつく日 本日23:59まで！OSAKA GIGANTIC MUSIC FESTIVAL 2026のEチケット販売中🎪 旅行もフェスも、残り3日！今すぐチェックして！,"公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
OSAKA GIGANTIC :: https://experiences.travel.rakuten.co.jp/experiences/62579"
2026-06-ss,19,main,6/18,木曜日,,main,main,main:本SALE 残り2日,残り2日！カウントダウン緊急訴求,🚨 SALE残り2日！旅行予約が毎日最大30%OFF。まだ予約していない方はラストチャンス！週末の旅行もまだ間に合うよ👇 急いで！,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,20,main,6/19,金曜日,,main,main,main:本SALE 明日最終日,ラストウォーニング ＋ 最終確認を促す,⚡️ 明日が最終日！楽天トラベル スーパーSALE は明日6月20日(土)23:59まで。見逃した旅行先はないか最終確認を！テーマパーク・水族館チケットも今がラストチャンス👇,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,21,main,6/20,土曜日,sat,last,main last 50day,last:🔴 本日最終日 | 50day:⏰ 0のつく日 START（23:59まで）,ラストコール！最終日 ＋ 0のつく日スタート,🔴 本日最終日！楽天トラベル スーパーSALE 6月20日(土)23:59まで！今日は0のつく日で特別開催中🌟 最大30%OFFを今すぐ！逃したら後悔するよ👇,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
common,1,fifty,,,,50day,50day,50day:5と0のつく日,5と0の日スタート｜予約日を合わせるだけ,📅 楽天トラベルをお得に使うなら、予約する日を意識するだけで変わります。毎月5・10・15・20・25・30日はポイントアップとクーポンが重なるタイミング。旅行自体が先でも、予約日だけこの日に合わせればOKです👇,5と0の日 TOP :: https://travel.rakuten.co.jp/camp/50luxday/top/?l-id=camp_50luxday_top
common,2,fifty,,,,50day,50day,50day:5と0のつく日,ホテル・宿 訴求,🏨 5と0のつく日はホテル・宿の割引クーポンが配布されます。気になっている宿があるなら、このタイミングで予約するのが正解✨ エントリーを忘れずに！,ホテル・宿 :: https://travel.rakuten.co.jp/camp/50luxday/?lid=camp_50pointday_navi_hotel&scid=af_pc_etc&sc2id=af_112_0_10002848
common,3,fifty,,,,50day,50day,50day:5と0のつく日,遊び・体験 訴求,🎢 5と0のつく日は遊び・体験のチケットも対象。テーマパークや水族館の前売りチケットもお得に取れるタイミングです🐟 おでかけの予定がある方はチェック！,遊び・体験 :: https://travel.rakuten.co.jp/camp/50luxday/rte/?scid=camp_50pointday_rte
